article_title,revision_id,article_quality,country,population,region
"Ahmed Dino",1209165678,Stub,"Albania",,
"Rasih Dino",1180949327,Stub,"Albania",,
"Ferhat Bey Draga",1236738861,C,"Albania",,
"Nexhip Draga",1236738502,GA,"Albania",,
"Aqif Pasha Elbasani",1243882903,GA,"Albania",,
"Abas Ermenji",1240801210,Start,"Albania",,
"Qamil Musa Haxhi Feza",1198224146,Stub,"Albania",,
"Themistokli Gërmenji",1241037317,C,"Albania",,
"Sabri Godo",1230739582,C,"Albania",,
"Mihal Grameno",1226635783,C,"Albania",,
"Aćif Hadžiahmetović",1229938943,GA,"Albania",,
"High Council of Regency",1245450388,C,"Albania",,
"Kurt Agë Kadiu",1244486529,Stub,"Albania",,
"Mehmed Kalakula",1145510350,Stub,"Albania",,
"Alfred Karamuço",1098236555,Stub,"Albania",,
"Ibrahim Karbunara",1235824719,C,"Albania",,
"Ali Këlcyra",1227369252,Start,"Albania",,
"Bajram Kelmendi",1237006808,Start,"Albania",,
"Kristo Kirka",1237950375,C,"Albania",,
"Elez Koçi",1174010569,Start,"Albania",,
"Xhelal Koprëncka",1209148780,Stub,"Albania",,
"Kryeziu family",1236739222,Start,"Albania",,
"Artur Kuko",1112281132,Stub,"Albania",,
"Xhavid Leskoviku",1180950536,Start,"Albania",,
"Sabit Lulo",1180950488,Stub,"Albania",,
"Gjon Markagjoni",1227760361,C,"Albania",,
"Tefik Mborja",1234673487,Start,"Albania",,
"Hysni Milloshi",1218412314,Start,"Albania",,
"Musa Qazimi",1235824584,GA,"Albania",,
"Mustafa Ndroqi",1198219291,Stub,"Albania",,
"Behxhet Nepravishta",1180949734,Stub,"Albania",,
"Adrian Neritani",1196135017,Start,"Albania",,
"Sali Nivica",1240539074,Start,"Albania",,
"Thoma Orologa",1180949774,Start,"Albania",,
"Bedri Pejani",1220757655,C,"Albania",,
"Kadri Prishtina",1198167947,Start,"Albania",,
"Ymer Prizreni",1215667416,Start,"Albania",,
"Avni Rustemi",1229276965,Start,"Albania",,
"Chatin Sarachi",1141930406,C,"Albania",,
"Nebi Sefa",1244486537,Stub,"Albania",,
"Eduard Shalsi",1173107489,Start,"Albania",,
"Ylli Vesel Shehu",1240443327,Stub,"Albania",,
"Athanas Shundi",1220369492,C,"Albania",,
"Xhelal Sveçla",1217259369,Start,"Albania",,
"Mehmet Tahsini",1239924043,Stub,"Albania",,
"Ibrahim Temo",1228151428,GA,"Albania",,
"Afrim Tole",1241836925,Stub,"Albania",,
"Syreja Vlora",1186986269,Start,"Albania",,
"Visarion Xhuvani",1135323365,C,"Albania",,
